durablefishingrod;Durable Fishing Rod
salvagelegs;Salvaged Actuator
salvagetier4;Salvaged Interface Chip
salvagetier5;Salvaged Proton Limiter
salvagetier6;Salvaged Nano Receptacle
cannedfood;Canned Food
cheese;Cheese
chocolate;Chocolate
egg;Egg
milk;Milk
oculemonade;Oculemonade
reefcola;Reef-Cola
soda;Soda
electronicgoods;Electronic Parts
foodgoods;Food Rations
medicalgoods;Medical Supplies
militarygoods;Weapon Parts
card01;Trading Card #01
monsterclaw;Monster Claw
accordion;Accordion
acousticguitar;Acoustic Guitar
banjo;Banjo
bassguitar;Bass Guitar
bones;Floran Bone Xylophone
brightpiano;Bright Piano
clarinet;Clarinet
drumkit;Drum Kit
dulcimer;Hammered Dulcimer
electricbass;Electric Bass Guitar
flute;Flute
harmonica;Harmonica
harp;Harp
keyboard;The Model M
koto;Koto
leadguitar;Lead Guitar (1)
flyingv;Lead Guitar (2)
microphone;Low-Pitch Microphone
microphonefem;High-Pitch Microphone
musicbox;Music Box
nylonguitar;Nylon Guitar
oboe;Oboe
ocarina;Ocarina
overdriveguitar;Overdrive Guitar
piano;Piano
reedorgan;Reed Organ
rockorgan;Rock Organ
saxophone;Saxophone
spaceorgan;Space Synth
squarewave;Square Wave
steeldrum;Steel Drum
trumpet;Trumpet
violin;Violin
liquidhealing;Healing Water
liquidlava;Lava
liquidfuel;Liquid Erchius Fuel
liquidmilk;Coconut Milk
liquidoil;Oil
liquidpoison;Poison
liquidslime;Slime
swampwater;Swamp Water
liquidwater;Water
alienrock;Alien Rock
alienstripedwood;Striped Wood
ancientblock;Ancient Block
ancientbrick;Ancient Brick
ancientplatform;Ancient Platform
apexshipdetails;Metal Railing
apexshipplatform;Ship Platform
apexshipsupport;Ship Support
apexshipwall;Wall Panel
ash;Ash Pile
asphalt;Asphalt
aztecmaterial;Glyph Block
aztectech;Avian Tech Block
bamboo;Bamboo
bambooplatform;Bamboo Platform
bars;Metal Bars
baseboard;Classic Baseboard
biorock;Yellow Glow Rock
biorock2;Blue Glow Rock
blackblock;...
blackglass;Black Glass
blaststone;Blaststone
blueneonsymbol;Blue Neon Block
bonematerial;Packed Bones (1)
charredbonematerial;Packed Bones (2)
bookpiles;Pile of Books
brainsblock;Brains
brickmaterial;Bricks
cabinroofing;Cabin Roofing
cactiblock;Cacti Block
candyblock;Candy Block
castlewalls1;Heavy Stone Brick
castlewalls2;Small Stone Brick
chain;Tungsten Chain
cheapwallpaper;Tacky Wallpaper
clay;Clay
cloudblock;Cloud
cobblestonematerial;Cobblestone
cobblestonebrick;Cobblestone Brick
coconutblock;Coconut Block
composite01material;Titanium Panel
compositerail;Composite Rail
concretematerial;Concrete Block
copperblock;Copper Gear Block
copperfence;Copper Fence
copperladder;Copper Ladder
copperplatform;Copper Platform
copperroofing;Copper Roofing
copperwindow;Copper Window
corruptdirtmaterial;Corrupt Dirt
crosshatch;Window Lattice (1)
shojilattice;Window Lattice (2)
crystalblock;Crystal Block
darksmoothstonematerial;Dark Smooth Stone
darkwoodmaterial;Timber
dermisblock;Ruin Dermis
direstone;Dire Stone
dirtmaterial;Dirt
drydirt;Dry Dirt
drysand;Dry Sand
eyepiles;Pile of Eyes
fadedblocks;Soft Brick
fence;Wooden Fence
fleshblock;Flesh Chunk
floweryblock;Flower Block
frozendirt;Frozen Dirt
frozenwater;Smooth Ice
fullwood1;Treated Wood
fullwood2;Unrefined Wood
geodeblock;Geode Crystals
geodestone;Geode Stone
girdermaterial;Girder
glassmaterial;Glass Block
goldblock;Gold Block
goldenplatform;Gold Platform
grassy;Sod Block
grassyrock;Grassy Rock
gravelmaterial;Gravel
greenneonsymbol;Green Neon Block
hazard;Hazard Block
heavyironbars;Heavy Iron Bars
heavypipe;Heavy Pipe
hellstonematerial;Flesh Pile
hive;Hive Block
homewalls1;Painted Brick
ice;Ice (1)
iceblock1material;Ice (2)
iceblock2material;Ice (3)
iceblock3material;Ice (4)
iceblock4material;Ice (5)
castlevaniaice;Ice (6)
iceblock;Ice Block
ironblock;Iron Block
jellyblock;Jelly Blob
junk;Junk Pile
junktech;Junk Tech
ledgebrick;Ledge Brick
lightmetal;Light Metal
limestone;Limestone
logblock;Wooden Log
lunarbaseblock;Lunar Base Block
lunarbaseplatform;Lunar Base Platform
magmarock;Magmarock
mediummetal;Tungsten Block (1)
retexironblock;Tungsten Block (2)
metallicmaterial;Hi-tech Block
meteoriterock;Meteorite Rock
mirror;Mirror Block
modernplatform;Modern Platform
moondust;Moondust
moonrock;Moonrock
moonstone;Moonstone
mossypackeddirt;Mossy Packed Dirt
mud;Mud
neonblock;Neon Block
obsidian;Obsidian
ornateflooring;Ornate Flooring
ornateroofing;Ornate Roofing
ornatetiles;Ornate Tiles
ornatewall;Ornate Wall
ornatewood;Ornate Wood
outpost;Outpost Wall
outpostplatform;Outpost Platform
outpostsupport;Outpost Support Beam
outpostwall1;Outpost Concrete
outpostwall2;Outpost Thick Wall
packeddirt;Packed Dirt
petalblock;Petal Block
pillarblock;Pillar Block
plantblock;Plant Block
plantmatter;Plant Matter
plantplatform;Mossy Platform
platematerial;Smooth Plated Block
platform;Wood Platform (1)
platform2;Wood Platform (2)
platinumblock;Platinum Block
pressurisedbeam;Pressurised Beam
pressuriseddurasteel;Pressurised Durasteel
pressurisedgirder;Pressurised Girder
pressurisedplatform;Pressurised Platform
protectorateplatform;Protectorate Platform
purplecrystalmaterial;Purple Crystal Block
rainbowwoodblock;Rainbow Wood Planks
redtoyblock;Red Toy Block
reedblock;Reed Block
ridgebrick;Ridged Block
rock01;Rough Stone (1)
rock02;Rough Stone (2)
rock03;Rough Stone (3)
rock04;Rough Stone (4)
rock12;Rough Stone (5)
rock15;Rough Stone (6)
rock17;Rough Stone (7)
rock19;Rough Stone (8)
rock20;Rough Stone (9)
harrowstone;Rough Stone (10)
rock14;Granite Rock
rockbrickmaterial;Rock Bricks
rooftiles;Roof Tiles
ruinsplatform;Ruins Platform
rustyblock;Rusty Block
rustymetal;Rusty Metal
rustyrail;Rusty Rail
sand;Loose Silt
sand2;Sand
sandstonematerial;Sandstone
sandstoneblock;Sandstone Bricks
sewage;Raw Sewage
sewerpipe;Sewer Pipe
shadowblock;Shadow Rock
shadowspikeblock;Shadow Spike Block
shadowwallblock;Shadow Bricks
shojiscreenpanel;Shoji Screen Panel
shroomblock;Mushroom Block
silverblock;Silver Block
silverplatform;Silver Platform
silverscrew;Silver Screw
slime;Slime Glob
slopedhullpanel;Hull Panel
slopedinsetpanel;Inset Panel
slopedrustypanel;Rusty Panel
slopedscrappanel;Scrap Panel
slush;Slush
smoothmetal;Smooth Metal
snow;Snow (1)
snowdark;Snow (2)
spidersilkblock;Spider Silk
stomachblock;Stomach Lining (1)
fustomachblock;Stomach Lining (2)
stoneplatform;Stone Platform
stonerubble;Stone Rubble
stonetiles;Stone Tiles
supermatter;Erchius Crystal
tar;Tar
techhull1;Reinforced Tech Block
temple1;Temple Block
temple2;Temple Bricks
temple3;Small Temple Bricks
temple4;Simple Temple Blocks
tentacleblock;Tentacle Cluster
tentaclepipe;Large Tentacle
thatch;Thatch
tombbrick;Tomb Brick
tombbrick2;Unmarked Tomb Brick
tombbrick3;Small Tomb Brick
tombbrick4;Dark Tomb Brick
tombbrick5;Smooth Tomb Brick
treasurehoard;Treasure Hoard
tribalplatform;Temple Platform
tungstenplatform;Tungsten Platform
vine;Vine
wallpaper;Classic Wallpaper
waste;Waste
wetdirt;Wet Dirt
wicker;Wicker
wickersupport;Wicker Support Block
woodbridge;Wooden Bridge Block
woodenplatform;Ornate Platform
woodenwindow1;Wooden Window
woodenwindow2;Wooden Blinds
woodpanelling;Wood Panelling
wreckplatform;Wrecked Platform
beachball;Beachball
bomb;Bomb
bouncyball;Bouncy Ball
bowlingball;Bowling Ball
capturepod;Capture Pod
coconut;Coconut
energyjavelin;Energy Javelin (1)
energylance;Energy Javelin (2)
firework;Red Firework
fireworkblue;Blue Firework
fireworkgreen;Green Firework
flare;Flare
flowerygrassseeds;Flowery Grass Seeds
glowbomb;The Night Light
glowstickblue;Blue Glowstick
glowstickgreen;Green Glowstick
glowstickorange;Orange Glowstick
glowstickyellow;Yellow Glowstick
grassseeds;Grass Seeds
hivebomb;Bug Hive
huntingspear;Hunting Spear
javelin;Javelin
lavaballoon;Lava Balloon
molotov;Molotov
noveltybanana;Novelty Banana
paperplane;Paper Plane
petball;Little Red Ball
snowball;Snowball
giganticsnowball;Gigantic Snowball
largesnowball;Large Snowball
mediumsnowball;Medium Snowball
snowflakeshuriken;Snowflake Shuriken
tarball;tar ball
thorngrenade;Thorn Grenade
throwingaxe;Throwing Axe
throwingblock;Throwing Block
throwingbones;Throwing Bones
throwingboulder;Throwing Boulder
throwingdagger;Throwing Dagger
throwingdart;Throwing Dart
throwinggnome;Ball of Gnomes
throwingknife;Throwing Knife
throwingkunai;Throwing Kunai
throwingspear;Iron Hunting Spear
throwingstar;Throwing Star
waterballoon;Water Balloon
chainsaw;Chainsaw
flashlight;Flashlight (1)
greenflashlight;Flashlight (2)
redflashlight;Flashlight (3)
yellowflashlight;Flashlight (4)
hoe;Hoe
mininglantern;Explorer's Lantern
painttool;Paint Mode
wiretool;Wire Mode
beamaxe;Matter Manipulator (1)
beamaxeX;Matter Manipulator (2)
protectoratebeamaxe;Matter Manipulator (3)
copperdrill;Copper Drill
copperpickaxe;Copper Pickaxe
diamonddrill;Diamond Drill
diamondpickaxe;Diamond Pickaxe
fishaxe;Fishaxe (1)
superfishaxe;Fishaxe (2)
fossiltool;Fossil Extractor
golddrill;Gold Drill
goldpickaxe;Gold Pickaxe
laserminer;Laser Mining Tool
pickaxe;Pickaxe
platinumdrill;Platinum Drill
platinumpickaxe;Platinum Pickaxe
silverdrill;Silver Drill
silverpickaxe;Silver Pickaxe
superfishaxedrop;Fishaxe (Drops)
crewcontract;Red Shirt Contract
crewcontract_arctic;Arctic Contract
crewcontract_biohazard;Biohazard Contract
crewcontract_bountyhunter;Bounty Contract
crewcontract_chef;Chef Contract
crewcontract_chef2;Line Chef Contract
crewcontract_chef3;Sous Chef Contract
crewcontract_chemistblue;Chemist-A Contract
crewcontract_chemistgreen;Chemist-B Contract
crewcontract_chemistorange;Chemist-C Contract
crewcontract_chemistyellow;Chemist-D Contract
crewcontract_collector;Collector Contract
crewcontract_cultist;Cultist Contract
crewcontract_cyborg;Cyborg Contract
crewcontract_engineer;Engineer Contract
crewcontract_engineer2;Engineer II Contract
crewcontract_fubees;Beeguy Contract
crewcontract_fuhunter;Hunter Contract
crewcontract_fullama;Alpaca Contract
crewcontract_gas;Gas Specialist Contract
crewcontract_geologist;Geologist Contract
crewcontract_hobo;Hobo Contract (1)
crewcontract_science;Hobo Contract (2)
crewcontract_janitor;Custodian Contract
crewcontract_magicalgirl;Magical Girl Contract
crewcontract_mechanic;Mechanic Contract
crewcontract_mechanic2;Mechanic II Contract
crewcontract_medic;Medic Contract
crewcontract_metalhead;80s Metalhead Contract
crewcontract_outlaw;Outlaw Contract
crewcontract_plur;PLUR Contract
crewcontract_radien;Radien Explorer Contract
crewcontract_sciencedrug;Drug Specialist Contract
crewcontract_sciencegas;Toxin Specialist Contract
crewcontract_scuba;Scuba Contract
crewcontract_stealth;Assassin Contract
crewcontract_tailor;Tailor Contract
crewcontract_volcanologist;Volcanologist Contract
crewcontract_warrior;Warrior Contract
crewcontract_warrior2;Veteran Contract
crewcontract_warrior3;General Contract
profishingrod;Pro Fishing Rod
crystallight;Crystal Light (1)
avianwaterlight;Crystal Light (2)
tacticalmug;Tacti-Cool Mug
fossilbrushultra;Microparticle Brush
t;Thing
eldergrappler;Elder Hook
iceaxe;Ice Axe
lasherhook;Lasher Hook
lasherhook2;Lasher Hook II
tethersnap;Nano-Tether
fumementomori;Crystalline Skull
atropusshield;Fleshrot Shield
blistershield;Blister Shield
bubbleshield;Aqua Shield
densiniumshield;Densinium Shield
diamondshield;Gishinanki Shield
durasteelshield;Durasteel Shield
eldershield;Elder Shield
fubeeshield;Queen's Shield
fubeeshield2;Amber Shield
fuboneshield;Bony Shield
fupioneershield;Pioneer Shield
gladiatorshield;Gladiator Shield
hellfireshield;Hellfire Shield
ironshield;Iron Shield
leathershield;Leather Shield
lunarishield;Lunari Shield
primitiveshield;Primitive Shield
quantumshield;Quantum Shield
reptileshield;Reptilian Shield
shadowshield;Shadow Shield (1)
eviltester;Shadow Shield (2)
shadowimmunity1;Shadow Shield (3)
titaniumshield;Titanium Shield
tritaniumshield;Tritanium Shield
tungstenshield;Tungsten Shield
xenoshield;X10 Shield
botpod;Bot Pod
bugnet2;Superior Bug Net
fusuperrewardbag;Space-Time Crystal
HarvesterBeam;Harvester Beamgun
HarvesterBeam2;Harvester Beamgun II
HarvesterBeam3;Harvester Beamgun III
oredetector1;Ore Detector MK1
cavedetector2;Cave Detector II
oredetector2;Ore Detector MKII
cavedetector3;Cave Detector III
oredetector3;Ore Detector MKIII
oredetector3khe;Ore Detector MKIIIk
furelocator2;Relocator II
furelocator3;Relocator III
furelocator4;Relocator IV
statustablet;Personal Tricorder
techtablet;Tech Tablet
translocator2;Translocator II
apexhoverbikecontroller;Apex Hoverbike
avianhoverbikecontroller;Avian Hoverbike
fusubcontroller;Triton Sub Controller
fusubcontroller2;Reaver Controller
fusubcontroller3;Sentinel Controller
fusubcontroller4;Gryphon Controller
fusubcontroller5;Roc Controller
hylotlhoverbikecontroller;Hylotl Hoverbike
bonespur;Bone Spur
fufrisbee;Stack o' Frisbees
nooberang;Nooberangz
quietusboomerang;Quietus Boomerang
shockarang;Shock Boomerang
warspinner;Warspinner
woodenboomerang;Wooden Boomerang
advalloycrossbow;Alloy Crossbow
aetheriumcrossbow;Aetherium Crossbow
autocrossbow;Auto-Crossbow
bonebow;Bone Bow
carbonbow;Carbon Hunting Bow
carnagebow;Carnage Bow
corruptionpump;Corruption Pump
elderbow;Elder Bow
hellfirebow;Hellfire Bow
irradiumbow;Irradium Bow
lightningcrossbow;Lightning Crossbow
lunaribow;Lunari Bow
penumbrabow;Enigma Bow
prismaticbow;Prismatic Bow
protobow;Protocite Bow
rimewind;Rimewind
shadowstring;Shadowstring
woodencrossbow;Wooden Crossbow
xithricitebow;Xithricite Bow
zerchesiumcrossbow;Zerchesium Crossbow
aetheriumdisc;Aether Disc
funeochakram;Proto Chakram
fugoldchakram;Golden Chakram
futitaniumchakram;Titanium Chakram
fuboneclaws;Bone Claw
extraclawglove;Zel-Claw
fuapexclaws;Force Gauntlet
fupowerglove;Power Glove
fuhellclaw;Hellion Claw
fumonsterclaw;Mutaclaw
stabfists;Iron Fists
advalloyaxe;Masters Battleaxe
aetheriumaxe;Aetherium Axe
bountyaxe;Survival Axe
carbonaxe;Carbon Hatchet
deathbringer;Deathbringer
effigiumaxe;Phantasm Axe
elderaxe;Elder Axe
fuatropusaxe;Fleshweave Hatchet
fuboneaxe;Bone Axe
fucoralcleaver;Coral Cleaver
fucultaxe;Cult Axe", //renamed to avoid confusion with actual iron axe
irradiumaxe;Irradium Axe
isogenaxe;Isogen Axe
moltenaxe;Molten Axe
nomadaxe;Nomad Axe
poweraxe;Tritanium Axe
pyreiteaxe;Pyreite Axe
quietusaxe;Quietus Axe
stoneaxe;Primitive Axe
uraniumaxe;Uranium Axe
xithriciteaxe;Cosmic Axe
zerchesiumaxe;Zerchesium Axe
advalloybroadsword;Masters Broadsword
aetheriumbroadsword;Aetherium Broadsword
aetheriumcleaver;Aetherium Cleaver
coralstinger;Coral Stingblade
coralsword;Coral Broadsword
curvebroadsword;Breach Plasma Cleaver
deadbeatbroadsword;Junk Cleaver
elderbroadsword;Elder Cleaver
energyblade;Energy Blade
energyblade2;Antimatter Blade
fuatropusbroadsword;Fleshweave Broadsword
fugoldenblade;Golden Honey Blade
hellfireblade;Hellfire Blade
hylotlgreatscion;Great Scion
irradiumsword;Irradium Blade
isogenbroadsword;Isogen Ruinblade
metalliccleaver;Metal Cleaver
metallicsword;Junk Blade
mineralblade;Particle Blade
phaseblade;Phase Blade
pyreitebroadsword;Pyreite Broadsword
quietusemperor;Emperor Blade
quietusgeneral;Generals Blade
quietusknight;Knight Blade
spikesword;Thornitox Sword
stonebroadsword;Primitive Broadsword
uraniumbroadsword;Uranium Blade
warcleaver;Ferozium Cleaver
xithricitebroadsword;Cosmic Broadsword
zerchesiumbroadsword;Zerchesium Broadsword
dbladelong;Tek Blade (1)
dblade;Tek Blade (2)
densiniumsword;Densinium Blade
negablade;The Negablade
precursorbroadsword;Precursor Rendblade
advalloydagger;Masters Knife
aetheriumdagger;Aetherium Punyal
bloodyknife;Sacrificial Blade
fucarbondagger;Carbon Knife
curvedagger;Breach Knife
effigiumdagger;Phantasm Knife
fuatropusdagger;Fleshweave Knife
fubonepickaxe;Curved Bone Blade
glowstickgreendagger;Glowstick (1)
glowstickyellowdagger;Glowstick (2)
irradiumdagger;Irradium Dagger
isogendagger;Isogen Knife
pyreitedagger;Pyreite Dirk
quietusknave;Knave's Blade
quietusrogue;Rogue's Blade
silverseablade;Silver Sea Blade
stonedagger;Primitive Dagger
uraniumdagger;Uranium Knife
xithricitedagger;Cosmic Knife
zerchesiumdagger;Zerchesium Knife
durasteelgreataxe;Durasteel Greataxe
fuatropusgreataxe;Fleshweave Greataxe
fucommongreataxe;Common Greataxe
furaregreataxe;Rare Greataxe
fuuncommongreataxe;Uncommon Greataxe
irongreataxe;Iron Greataxe
stonegreataxe;Primitive Greataxe
titaniumgreataxe;Titanium Greataxe
tungstengreataxe;Tungsten Greataxe
zerchesiumgreataxe;Zerchesium Greataxe
advalloyhammer;Masters Mace
aetheriumhammer;Aetherium Hammer
effigiumhammer;Phantasm Hammer
elderhammer;Elder Hammer
fishboneheadbasher;Fishbone Basher
fuatropushammer;Fleshweave Mace
fubonehammer;Bone Cudgel
fucarbonhammer;Carbon Hammerpick
fuhoneyhammer;Amber Hammer
fumegahoneyhammer;Queen Hammer
fuquantumhammer;Quantum Hammer
banehammer;Irradium Hammer
isogenhammer;Isogen Sledge
kelpsteelhatchet;Kelp Hammer
metallichammer;Junk Hammer
mystichammer;mystichammer
pyreitehammer;Pyreite Hammer
solarihammer;Lunari Hammer
soulreader;soulreader
stonehammer;Primitive Hammer
uraniumhammer;Uranium Hammer
xithricitehammer;Cosmic Hammer
zerchesiumhammer;Zerchesium Mace (1)
zerchesiummace;Zerchesium Mace (2)
rockethammer;Omega Hammer
advalloykatana;Masters Katana
aetheriumkatana;Aetherium Katana
carbonkatana;Carbon Katana
coralkatana;Coral Katana
densiniumkatana;Densinium Katana
diamondkatana;Diamond Katana
durasteelkatana;Durasteel Katana
ironkatana;Iron Katana
ironkatana2;Kells Flawless Katana
irradiumkatana;Irradium Katana
isogenkatana;Isogen Katana
lunarikatana;Lunari Katana
pyreitekatana;Pyreite Katana
quietuskatana;Quietus Katana
solariumkatana;Solarium Katana
titaniumkatana;Titanium Katana
tungstenkatana;Tungsten Katana
woodenkatana;Practice Katana
zerchesiumkatana;Zerchesium Katana
ancientlongsword;Ancient's Warblade
fucommonlongsword;Common Longsword
coraldullblade;Coral Longsword
crystallineblade;Crystal Blade
deadbeatlongsword;Junk Longsword
effigiumbroadsword;Phantasm Blade
fiendefeller;Fiendefeller
fuambersword;Amber Blade
fubonesword;Bone Cleaver
fucellsword;Cell Blade
fupetalsword;Queen Blade
klinokrov;Klinokrov
furarelongsword;Rare Longsword
solarisword;Lunari Sword
titaniumbroadsword;Titanium Longsword
tungstenbroadsword;Tungsten Longsword
fuuncommonlongsword;Uncommon Longsword
xithricitelongsword;Cosmic Longsword
aegisaltmace;Aegisalt Mace
aetheriummace;Aetherium Mace
ballmace;Balls of Steel
bonemace;Bone Mace
deadbeatmace;Junk Mace
densealloymace;Dense Mace
densiniummace;Densinium Mace
durasteelmace;Durasteel Mace
effigiummace;Phantasm Mace
eldermace;Elder Soulhammer
facebreaker;Facebreaker
fucommonmace;Common Mace
furaremace;Rare Mace
fuuncommonmace;Uncommon Mace
goldmace;Golden Maul
hellfiremace;Hellfire Mace
honeymace;Honeyed Mace
ironmace;Iron Mace
irradiummace;Irradium Mace
isogenmace;Isogen Mace
pyreitemace;Pyreite Mace
quantummace;Quantum Mace
quietusmace;Quietus Mace
solariummace;Solarium Mace
stonemace;Stone Club
titaniummace;Titanium Mace
triangliummace;Solangrium Mace
tungstenmace;Tungsten Mace
uraniummace;Uranium Mace
woodenmace;Wooden Club
carbonquarterstaff;Carbon Quarterstaff
commonqs;Common Quarterstaff
copperquarterstaff;Copper Quarterstaff
curvestaff;Plasma Quarterstaff
densiniumquarterstaff;Densinium Quarterstaff
diamondquarterstaff;Diamond Quarterstaff
goldquarterstaff;Gold Quarterstaff
rareqs;Rare Quarterstaff
silverquarterstaff;Silver Quarterstaff
solariumquarterstaff;Solarium Quarterstaff
uncommonqs;Uncommon Quarterstaff
aetheriumrapier;Aetherium Rapier
diamondrapier;Diamond Rapier
effigiumrapier;Phantasm Rapier
fucommonrapier;Common Rapier
furarerapier;Rare Rapier
fuuncommonrapier;Uncommon Rapier
goldrapier;Gold Rapier
ironrapier;Iron Rapier
irradiumrapier;Irradium Rapier
quietusrapier;Scarlet Empress
silverrapier;Silver Rapier
aetheriumscythe;Aetherium Scythe
densiniumscythe;Densinium Scythe
fuatropusscythe;Fleshweave Scythe
fubonescythe;Bone Scythe
goldscythe;Golden Scythe
honeyscythe;Honey Scythe
lunariscythe;Lunari Scythe
quietusscythe;Quellhound Scythe
stonescythe;Primitive Scythe
titaniumscythe;Titanium Scythe
advalloyshortspear;Masters Shortspear
commonshortspear;Common Shortspear
durasteelshortspear;Durasteel Shortspear
fuatropusshortspear;Fleshweave Shortspear
ironshortspear;Iron Shortspear
rareshortspear;Rare Shortspear
stoneshortspear;Primitive Shortspear
titaniumshortspear;Titanium Shortspear
tritaniumshortspear;Tritanium Shortspear
tungstenshortspear;Tungsten Shortspear
uncommonshortspear;Uncommon Shortspear
zerchesiumshortspear;Zerchesium Shortspear
advalloyshortsword;Masters Shortsword
aetheriumshortsword;Aetherium Sansibar
blackedge;Blackedge
boneblade;Bone Sword
carbonblade;Carbon Shortsword
coralsword2;Coral Shortsword
corruptblade;Corrupted Blade
diamondblade;Diamond Blade
effigiumshortsword;Phantasm War-Knife
elderblade;Elder Blade
frostblade;Frost Blade
fuatropusshortsword;Fleshweave Sword
fusavethequeen;Queensguard
fushroomsword;Mushroom Blade
goldenseascion;Gold Sea Scion
greenedge;Greenedge
hardenedsteelblade;Steel Warblade
heliosblade;Helios
hellfire1hand;Hellfire Knife
hylotllesserscion;Scion Clawblade
irradiumblade;Irradium War Knife
isogenshortsword;Isogen Shortsword
moltenblade;Molten Sword
obsidianblade;Obsidian Sword
pyreiteshortsword;Pyreite Shortsword
quietusassassin;Assassin's Blade
quietuscaptain;Captains's Blade
quietusmercenary;Mercenary's Blade
redwaxsword;Red Wax Sword
shadowblade;Shadowspike
shadowburst;Shadow Reaper
solariblade;Lunari Dagger
stoneshortsword;Primitive Shortsword
uraniumshortsword;Uranium War-Knife
waxsword;Wax Sword
xithriciteshortsword;Cosmic Shortsword
zerchesiumsword;Zerchesium Blade
fuchainsword;Chain Blade
advalloyspear;Masters Spear
banespear;Bane Spear
fubonespear;Bone Spear
carbonspear;Carbon Spear (1)
npchuntingspear;Carbon Spear (2)
coralspear;Coral Spear
corruptspear;Corrupted Spear
cultiststaffmelee;Cultist Battle Staff
deadbeatspear;Junk Spear (1)
metallicspear;Junk Spear (2)
effigiumspear;Phantasm Spear
elderspear;Elder Spear
flightfire;Flightfire
fuatropusspear;Fleshweave Spear
fucrystalspear;Crystal Spear
fuqueenstinger;Queen Stinger
hellfirespear;Hellfire Spear
irradiumspear;Irradium Spear
isogenspear;Isogen Spear
pincerspear;Pincer Spear
pyreitespear;Pyreite Lance
quietusspear;Quietus Spear
siliconspear;Tek Lance
solarispear;Lunari Spear
stonespear;Primitive Spear
tristab;Trimark
tritaniumspear;Tritanium Spear
uraniumspear;Uranium Spear
xithricitespear;Cosmic Spear
zerchesiumspear;Zerchesium Spear
precursorspear;Precursor Spear
durasteelmachinepistol;Durasteel Machine Pistol
durasteelshotgun;Durasteel Shotgun
durasteelsniperrifle;Durasteel Sniper Rifle
ironmachinepistol;Iron Machine Pistol
ironshotgun;Iron Shotgun
ironsniperrifle;Iron Sniper Rifle
titaniumassaultrifle;Titanium Assault Rifle
titaniumrevolver;Titanium Revolver
titaniumshotgun;Titanium Shotgun
tungstenassaultrifle;Tungsten Assault Rifle
tungstenmachinepistol;Tungsten Machine Pistol
tungstensniperrifle;Tungsten Sniper Rifle
spiderdroidblast;Spider Blast
spiderdroidbeam;Spider Beam
swtjc_ewg_npcantimaterialrifle;NPC Anti-Material Rifle
swtjc_ewg_npcautoshotgun;NPC Automatic Shotgun
swtjc_ewg_npcbattlerifle;NPC Battle Rifle
swtjc_ewg_npcbeampistol;NPC Beam Pistol
swtjc_ewg_npcbeamrifle;NPC Beam Rifle
swtjc_ewg_npcflakcannon;NPC Flak Cannon
swtjc_ewg_npcgrenadelauncher;NPC Handheld Grenade Launcher
swtjc_ewg_npcminirocketlauncher;NPC Mini-Rocket Launcher
swtjc_ewg_npcmultigrenadelauncher;NPC Multi-Grenade Launcher
swtjc_ewg_npcrevolver;NPC High-Caliber Pistol
swtjc_ewg_npcsaw;NPC Squad Automatic Weapon
swtjc_ewg_npcsawedoffshotgun;NPC Short-Barreled Shotgun
swtjc_ewg_npcsubmachinegun;NPC Submachine Gun
flamingdemonsword2;Fury
angryrocket;Spankr
fuadaptablecrossbow;Adaptable Crossbow DX
fugjallarhorn;Gjallarhorn
fupixelbreaker;Pixelbreaker
khetastrophae;Khetastrophae
magnorbatropus;Flesh Bola
magnorbfrost;Frost Lobber
magnorbhellfire;Hellfire Orbs
magnorblunari;Shard Field
magnorbmoonstone;Telebrium Orbs
magnorbneutron;Neutron Star Orbs
magnorbproto;Tauntra Orbs
magnorbshadow;Shadow Orbs
magnorbslime;Slime Lobber
precursorpistol;Precursor Protector
precursorpistolbeam;Precursor Beamgun
precursorpistolice;Precursor Freeze Gun
precursorpistolshock;Precursor Jolt Gun
precursorpistolxray;Precursor X-Ray Gun
gregskittlegun;Skittles
shadowtentaclegun;Shadow Lurch
durasteelaxe;Durasteel Axe
durasteeldagger;Durasteel Dagger
durasteelhammer;Durasteel Hammer
durasteelspear;Durasteel Spear
ironaxe;Iron Axe
irondagger;Iron Dagger
ironhammer;Iron Hammer
ironspear;Iron Spear
titaniumaxe;Titanium Axe
titaniumhammer;Titanium Hammer
titaniumshortsword;Titanium Shortsword
tungstendagger;Tungsten Dagger
tungstenshortsword;Tungsten Shortsword
tungstenspear;Tungsten Spear
swtjc_ewg_commonbattlerifle;Common Battle Rifle
swtjc_ewg_commonsaw;Common Squad Automatic Weapon
swtjc_ewg_rarebattlerifle;Rare Battle Rifle
swtjc_ewg_raresaw;Rare Squad Automatic Weapon
swtjc_ewg_uncommonbattlerifle;Uncommon Battle Rifle
swtjc_ewg_uncommonsaw;Uncommon Squad Automatic Weapon
swtjc_ewg_commonmultigrenadelauncher;Common Multi-Grenade Launcher
swtjc_ewg_raremultigrenadelauncher;Rare Multi-Grenade Launcher
swtjc_ewg_uncommonmultigrenadelauncher;Uncommon Multi-Grenade Launcher
swtjc_ewg_commonsubmachinegun;Common Submachine Gun
swtjc_ewg_raresubmachinegun;Rare Submachine Gun
swtjc_ewg_uncommonsubmachinegun;Uncommon Submachine Gun
swtjc_ewg_commonbeampistol;Common Beam Pistol
swtjc_ewg_commonrevolver;Common High-Caliber Pistol
swtjc_ewg_rarebeampistol;Rare Beam Pistol
swtjc_ewg_rarerevolver;Rare High-Caliber Pistol
